income,loan_amount,payment_delays,employment_length,age,default
84743.33,31542.24,3.0,5.8,69,0
73749.88,28482.61,3.0,4.5,22,0
68723.59,19311.54,3.0,3.5,44,0
68850.37,14770.07,,7.7,38,0
49632.6,39214.83,7.0,0.0,50,0
23082.37,19810.63,,4.8,49,0
52274.14,22325.48,7.0,3.6,19,1
29685.15,20264.34,,3.0,51,0
,17438.07,0.0,5.0,67,0
45588.28,37000.97,2.0,8.4,50,0
25235.08,12898.4,1.0,6.6,41,0
40358.42,21942.34,8.0,1.0,41,1
62387.94,32335.9,6.0,7.6,36,0
,28791.51,9.0,5.6,33,1
25333.39,19830.11,9.0,13.5,20,0
57310.62,16153.53,,6.2,46,0
57349.0,32455.27,9.0,4.0,27,1
34791.7,30458.65,4.0,2.4,60,0
35868.85,33901.15,2.0,6.4,30,0
56961.5,31820.51,8.0,2.6,35,1
10000.0,37952.62,,6.5,55,1
10000.0,18488.31,4.0,6.3,51,0
28446.67,22686.6,1.0,4.8,54,0
43596.59,36013.92,9.0,6.4,36,0
59327.23,42975.18,7.0,0.9,18,1
94260.69,47738.04,4.0,0.0,35,0
75729.79,29343.61,3.0,3.0,62,1
45201.84,31674.21,1.0,0.1,35,0
49429.51,35513.63,6.0,2.9,56,1
19924.12,19600.49,8.0,8.2,27,0
49444.61,16405.34,5.0,7.0,54,0
,13237.16,0.0,0.0,35,0
59681.56,30704.68,0.0,4.1,55,0
25183.07,28802.3,8.0,3.1,63,1
65580.4,23534.54,6.0,2.5,36,0
95982.17,26543.73,3.0,5.1,53,0
46737.2,19192.26,8.0,4.0,28,0
62051.35,28909.35,8.0,2.8,19,1
70704.32,36934.26,2.0,8.8,22,0
37963.39,26321.0,7.0,5.7,21,0
56722.77,26410.57,,0.1,50,0
50377.77,38974.31,1.0,0.9,66,0
52930.28,52817.91,2.0,8.6,65,0
26809.71,20480.21,0.0,0.0,35,0
50735.31,41220.93,5.0,0.0,42,1
64939.95,21115.61,,5.4,20,0
93534.31,45138.08,3.0,7.9,44,0
78778.12,22530.48,,11.0,61,0
114595.47,34378.51,,3.8,43,1
26979.57,19992.37,4.0,2.5,30,0
76169.62,16233.92,6.0,5.5,36,0
,12100.05,7.0,6.3,51,0
115694.09,29631.73,,5.3,68,0
25751.05,33388.36,1.0,9.1,20,0
24808.34,17567.5,3.0,3.8,58,0
32018.22,30556.55,5.0,5.1,28,0
10000.0,3000.0,2.0,5.3,34,0
34227.35,25444.28,4.0,3.6,68,0
27226.02,24845.04,1.0,0.0,64,0
54511.81,16303.47,8.0,5.9,46,0
60252.68,45669.5,4.0,1.6,52,0
106285.13,23690.11,1.0,5.4,55,0
78512.72,28274.01,3.0,7.2,26,0
32692.89,46090.33,1.0,9.9,58,0
23047.56,10094.9,7.0,7.4,45,0
64757.58,21738.67,4.0,8.0,46,0
10393.0,18633.61,5.0,13.3,49,0
104943.76,22713.07,3.0,4.9,23,0
85383.2,37243.34,8.0,5.2,32,0
35924.73,8184.95,6.0,6.3,56,0
10000.0,17009.65,1.0,3.2,35,0
90616.17,47588.76,2.0,6.3,27,0
46563.8,30718.54,,5.8,42,0
87134.49,32016.92,7.0,2.0,27,1
10000.0,13783.34,1.0,0.0,67,0
32018.75,20555.19,0.0,1.4,63,0
50157.31,22158.78,6.0,1.7,30,1
51409.42,29261.09,4.0,2.0,42,0
36498.04,28747.62,7.0,5.5,56,0
68685.5,30172.44,1.0,2.3,23,0
,25603.48,9.0,8.1,32,0
45728.62,29284.6,7.0,,25,1
53608.87,13260.55,0.0,4.2,64,0
65433.17,14086.63,4.0,8.4,64,0
71348.45,30993.74,9.0,7.7,38,1
16260.74,13749.49,8.0,7.8,61,0
10000.0,19028.26,,5.0,61,1
88330.3,49384.58,4.0,9.2,41,0
59969.42,24312.78,6.0,4.3,49,0
27545.4,23616.41,,4.6,67,0
96534.56,25852.53,0.0,5.3,59,0
53470.24,30611.6,1.0,0.0,37,0
85378.92,24262.84,3.0,7.8,36,0
52025.55,35413.35,3.0,1.0,38,0
111822.44,38592.82,9.0,4.8,65,0
,34074.71,0.0,9.0,61,0
42531.08,9506.22,7.0,6.0,59,0
79147.13,17099.57,1.0,,57,0
69361.28,34672.43,0.0,6.2,26,0
91058.95,44842.68,1.0,0.0,43,0
21052.3,21625.38,4.0,8.3,32,0
70581.54,26838.2,9.0,7.8,67,1
81752.73,31833.84,5.0,8.2,64,0
10000.0,15567.64,6.0,4.8,22,0
,10867.26,7.0,8.1,24,0
10000.0,3488.8,0.0,,51,0
41917.79,9969.22,9.0,,67,0
71526.27,22433.55,0.0,5.1,63,0
95070.71,34939.14,2.0,3.8,24,0
52222.84,12157.54,3.0,9.0,35,0
98858.47,34039.32,6.0,4.3,41,1
10000.0,9489.25,7.0,5.4,33,0
10000.0,3000.0,,1.6,22,0
48333.57,18243.6,6.0,8.7,43,0
61521.96,29671.59,8.0,6.7,66,1
49019.16,18494.61,4.0,2.8,54,0
10000.0,31774.16,6.0,8.0,36,1
47326.4,30701.6,7.0,4.6,32,0
10865.91,27718.1,5.0,0.0,53,1
70090.18,60082.74,4.0,4.5,65,0
60997.95,21478.17,9.0,,41,0
21803.61,5360.72,1.0,10.0,41,0
34583.99,14067.9,6.0,4.8,63,1
18223.59,19308.64,1.0,3.5,62,0
48119.63,28546.52,,3.5,34,0
78654.27,32584.45,3.0,6.1,18,0
20428.22,14612.65,9.0,3.5,53,0
65121.4,32157.1,0.0,7.5,62,0
34092.27,33236.96,0.0,6.0,28,0
26213.82,12716.03,9.0,0.1,59,1
46789.09,15056.75,9.0,0.0,27,1
18942.73,38430.8,8.0,6.9,22,1
33390.52,10422.34,8.0,3.6,64,0
14063.66,26282.09,2.0,3.8,18,0
108941.75,34821.54,2.0,6.8,35,0
51057.91,40070.8,,2.5,41,0
29008.23,17907.01,2.0,6.4,27,0
56419.4,30258.9,7.0,5.4,67,1
46630.16,11192.05,3.0,4.2,59,0
43370.91,16892.96,,11.0,28,0
68425.0,31147.88,4.0,7.1,47,1
72725.23,22881.48,7.0,4.8,18,1
34084.97,8957.74,4.0,4.7,34,0
32725.45,42788.69,,1.4,57,1
41748.45,23147.85,1.0,4.6,20,0
10000.0,28459.66,2.0,5.7,63,0
,36068.06,4.0,1.2,69,0
91006.23,27974.09,,15.0,32,0
99349.03,34016.64,,1.3,34,0
42528.92,24274.87,2.0,4.6,22,0
67296.71,33172.18,,7.7,19,0
59337.5,38037.66,6.0,8.8,19,0
142366.42,53233.75,,2.3,60,0
83587.25,38913.33,0.0,6.2,45,0
46162.47,21019.2,8.0,2.7,42,1
21333.79,19186.55,1.0,7.6,60,0
10000.0,4467.3,4.0,6.8,43,0
56103.91,33346.33,,5.6,21,0
27309.48,43573.21,6.0,2.7,58,1
10000.0,19622.42,2.0,5.3,39,0
30602.81,35090.53,,4.1,24,0
17553.56,26892.53,8.0,0.0,40,1
100614.25,29674.35,8.0,1.9,40,1
76449.19,21440.74,0.0,0.5,59,0
49760.82,13571.74,9.0,4.1,27,1
94398.32,35088.27,5.0,1.7,47,0
52321.05,31029.17,4.0,1.1,51,0
24161.47,25920.14,6.0,8.5,31,0
95693.72,22777.2,0.0,3.6,27,0
66167.3,40565.68,1.0,8.1,57,0
18882.62,13233.7,8.0,,54,1
44289.84,25089.01,6.0,1.9,58,0
23731.45,13321.08,6.0,5.3,55,0
10000.0,5169.67,6.0,4.3,22,0
77785.33,17951.93,,6.3,42,0
107282.5,43565.33,5.0,6.1,66,0
10000.0,16893.55,3.0,6.4,63,0
,17377.44,2.0,0.0,19,0
30480.72,14888.42,2.0,4.7,59,0
35386.24,36309.71,5.0,3.4,68,1
32228.18,30263.2,1.0,10.1,67,0
24080.28,25953.38,2.0,,61,0
51455.65,46392.85,,8.2,66,0
25071.5,35042.99,6.0,10.0,54,0
58113.7,26983.95,3.0,0.1,57,0
48492.86,19270.88,,9.9,44,0
42831.56,49417.55,7.0,,30,0
22773.09,31612.65,1.0,3.1,56,0
32696.86,16088.92,0.0,4.4,35,0
72661.74,16219.03,6.0,5.2,44,0
65027.52,14005.5,,2.1,25,0
20673.34,6339.06,2.0,5.7,47,0
52979.97,20783.96,7.0,7.1,31,0
72541.61,42898.37,3.0,3.5,23,0
10000.0,26896.66,,4.2,22,1
66300.81,30944.72,,2.3,52,0
30121.29,27177.96,7.0,9.9,32,0
67117.96,20610.65,8.0,2.5,57,1
27102.23,7344.08,4.0,3.9,58,0
10000.0,14688.19,9.0,0.0,41,1
10000.0,26875.81,4.0,1.5,18,1
51442.55,25741.78,1.0,10.6,67,0
57791.68,33651.09,,0.0,38,0
22870.5,19941.37,7.0,5.3,46,0
69157.77,15851.43,,9.8,67,0
,19878.68,4.0,2.2,21,0
48017.61,20761.78,8.0,2.6,48,0
13669.51,28578.95,1.0,2.5,22,0
30444.92,7088.98,2.0,5.1,39,0
51421.96,40607.43,6.0,3.5,31,1
24187.6,7512.28,7.0,6.7,24,1
38463.33,19861.48,5.0,,50,0
80188.78,17037.76,8.0,0.9,46,0
32693.24,31683.33,6.0,1.5,68,1
75070.76,18869.22,6.0,6.6,46,0
16108.79,12782.03,6.0,1.2,37,1
65894.13,38568.23,,0.0,27,0
93247.06,28560.69,,6.5,51,0
10000.0,16224.14,5.0,4.4,48,0
26093.14,26060.94,1.0,6.9,38,0
67312.16,31983.32,7.0,4.8,60,1
43908.64,25921.35,5.0,9.0,38,0
61134.38,21384.71,2.0,7.8,21,0
31880.44,17443.81,9.0,3.4,28,1
52597.69,29872.76,9.0,4.9,40,1
45329.68,21203.34,9.0,6.2,32,0
85033.46,34555.74,4.0,9.1,20,0
57632.63,12526.53,8.0,6.7,39,0
60128.08,26752.43,,7.6,63,0
37643.69,27862.12,2.0,8.0,26,0
35371.81,28702.79,,10.4,30,0
37023.25,20305.8,7.0,2.7,33,1
61833.56,30558.45,6.0,6.5,27,0
37370.47,16436.45,5.0,4.3,20,0
58693.25,40877.84,5.0,6.2,42,0
,34044.9,1.0,4.7,29,0
76133.74,42979.33,7.0,7.0,36,0
40219.29,21943.55,,10.0,52,0
86036.42,20575.81,1.0,4.0,27,0
37757.74,20217.65,6.0,9.9,31,0
10000.0,7024.33,7.0,0.6,46,1
19757.41,16216.81,,5.4,48,0
10000.0,6714.96,1.0,3.9,60,0
39454.6,20609.31,5.0,5.4,35,0
50552.55,34946.95,3.0,6.5,24,0
100293.12,49374.16,7.0,5.4,41,0
59807.82,20819.23,,6.9,45,0
,30928.77,3.0,1.7,60,0
74882.17,45171.06,3.0,5.8,63,0
10000.0,5364.35,2.0,10.3,41,0
57068.44,12413.69,2.0,,65,0
73125.96,15805.21,0.0,9.7,26,0
10000.0,16523.24,5.0,8.7,65,1
84312.62,17862.52,3.0,4.6,41,0
60154.89,38508.41,5.0,3.9,42,0
37541.36,8508.27,6.0,1.4,45,1
68983.46,28700.74,,8.3,53,0
118120.79,41829.45,4.0,5.8,39,0
55455.99,33009.02,5.0,4.7,36,0
57446.62,37781.33,7.0,9.9,57,0
36219.17,38651.64,6.0,6.5,63,0
,23826.96,,0.0,21,1
74910.07,24043.99,3.0,6.5,49,0
24317.49,21749.16,4.0,8.3,28,0
52146.99,29396.58,1.0,4.3,46,0
35670.28,24540.11,5.0,2.7,26,1
64369.39,23098.29,7.0,1.7,26,0
60009.86,39081.55,8.0,4.7,65,1
81126.2,27340.16,,4.9,27,0
34699.51,20750.35,3.0,4.4,25,0
41903.75,14973.98,9.0,11.0,40,1
20637.09,28401.78,9.0,8.5,59,1
36671.2,44279.68,8.0,0.7,56,1
61319.01,39268.49,6.0,4.5,25,1
72709.66,18806.63,7.0,1.5,20,1
22335.04,11386.54,7.0,5.2,53,0
76088.18,16217.64,8.0,8.3,29,0
90669.14,36186.11,9.0,3.6,24,1
62403.05,32294.07,,3.4,47,0
106303.87,29509.73,9.0,8.4,23,0
26786.32,14826.83,5.0,4.7,30,0
12660.36,3532.07,5.0,0.0,44,0
10000.0,15876.83,4.0,5.7,40,0
94881.33,27010.72,,7.0,44,0
69630.97,22051.28,0.0,9.4,42,0
48332.46,47553.9,3.0,1.6,56,1
58399.06,33356.0,,,62,0
16235.33,17962.97,7.0,3.5,57,1
123372.56,41912.51,4.0,6.1,48,0
53876.64,20737.9,9.0,6.9,40,0
53281.84,35345.22,8.0,2.7,26,1
71773.0,26621.11,4.0,10.6,65,0
64430.28,17027.44,0.0,4.2,24,0
56716.52,42650.34,7.0,4.8,48,0
26285.77,12386.17,9.0,7.0,25,1
64144.05,48345.21,8.0,6.8,34,1
106460.73,45365.83,3.0,2.8,49,0
90362.6,39870.96,6.0,10.7,28,0
97795.6,24952.31,2.0,4.2,31,0
34663.53,36638.89,7.0,1.8,48,0
20311.86,42976.43,4.0,6.7,22,0
46226.39,14104.52,,2.5,45,0
51671.75,24517.54,8.0,8.9,30,0
82825.75,22597.32,6.0,6.4,48,1
10000.0,13553.57,5.0,1.3,39,1
95886.51,32470.3,,6.7,59,0
45259.76,37003.01,1.0,3.2,40,0
37193.57,8438.71,6.0,7.4,49,0
19636.87,26124.27,8.0,6.9,49,1
10000.0,24592.35,0.0,2.9,30,1
74695.12,20773.46,3.0,4.8,34,0
52199.54,25679.08,9.0,8.5,37,0
11301.17,11524.73,,8.1,57,0
11147.64,18452.01,3.0,1.9,50,0
39926.46,41483.29,,2.5,34,0
100070.65,26292.87,8.0,4.5,58,1
42212.26,26412.96,3.0,10.3,54,0
10000.0,7793.73,1.0,0.0,51,1
42627.71,30785.16,,6.2,33,0
41818.29,26579.45,,1.3,55,0
10000.0,22951.5,8.0,6.8,69,1
48371.15,19395.15,0.0,6.3,55,0
43071.96,12203.68,8.0,3.0,69,1
70886.19,15177.24,8.0,8.1,69,0
105468.68,36188.0,3.0,8.5,68,0
83796.95,37130.67,,,69,0
41933.34,27338.19,1.0,,52,0
16804.22,25721.31,4.0,1.9,26,1
127200.79,35050.78,7.0,9.4,21,0
51776.55,24399.91,6.0,7.7,41,0
50417.88,11083.58,9.0,7.3,38,0
49276.25,23490.29,9.0,7.3,21,0
55942.54,43595.7,9.0,4.4,22,1
